Small_Eocene_penguin, {{100, 1.0}}
large_eocene_stem_penguin, {{100, 1.0}}
Vulpes_vulpes, {{100, 0.0}}
Felis_felis, {{100, 0.0}}
Bison_bonasus, {{100, 0.0}}
Champsosaurus, {{100, 1.0}}
Psephoderma, {{100, 1.0}}
Placondontia_indet, {{100, 1.0}}
Placodontia_indet_1, {{100, 1.0}}
Dyrosaurid, {{100, 0.02}}
Dysalotosaurus, {{51, 0.85}, {15, 0.86}, {33, 0.84}, {1, 0.83}}
Spinosaurus_.11, {{2, 0.21}, {1, 0.22}, {18, 0.18}, {9, 0.15}, {3, 0.2}, {15, 0.17}, {14, 0.16}, {4, 0.13}, {14, 0.14}, {20, 0.19}}
Spinosaurus_.10, {{2, 0.3}, {13, 0.26}, {10, 0.25}, {14, 0.28}, {7, 0.22}, {2, 0.2}, {1, 0.31}, {13, 0.27}, {12, 0.21}, {10, 0.24}, {3, 0.29}, {13, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{90, 0.98}, {8, 0.99}, {2, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{84, 0.98}, {16, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{29, 0.94}, {10, 0.92}, {61, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{5, 0.15}, {41, 0.12}, {11, 0.11}, {35, 0.13}, {8, 0.14}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{6, 0.15}, {29, 0.12}, {7, 0.11}, {41, 0.13}, {17, 0.14}}
Baryonyx, {{100, 1.0}}
Oviraptor_, {{100, 0.0}}
Aramus_guarauna, {{100, 0.0}}
Porphyrio_hochstetteri, {{100, 0.0}}
Porphyrio_Poliocephalus, {{100, 0.0}}
Nestor_notabilis, {{100, 0.0}}
Glareola_pratincola, {{100, 0.0}}
Spheniscus, {{100, 1.0}}
Myrmecophaga_tridactyla, {{64, 0.78}, {35, 0.79}, {1, 0.77}}
Rattus_rattus, {{100, 0.01}}
Castor_fiber, {{29, 0.73}, {67, 0.72}, {4, 0.71}}
Taxidea_taxus, {{3, 0.28}, {50, 0.26}, {46, 0.27}, {1, 0.25}}
Otaria_byronia, {{100, 0.96}}
Syncerus_caffer, {{17, 0.59}, {27, 0.61}, {56, 0.6}}
Paraplacodus, {{100, 1.0}}
Nothosaurus_568, {{100, 1.0}}
Plateosaurus, {{100, 0.0}}
Masiakasaurus, {{100, 0.01}}
Spinosaurus_.11, {{7, 0.28}, {5, 0.22}, {3, 0.3}, {5, 0.2}, {14, 0.24}, {16, 0.26}, {16, 0.27}, {13, 0.23}, {10, 0.25}, {11, 0.21}}
Spinosaurus_.10, {{5, 0.3}, {9, 0.32}, {14, 0.35}, {7, 0.28}, {2, 0.38}, {10, 0.34}, {16, 0.31}, {9, 0.33}, {2, 0.27}, {2, 0.37}, {13, 0.36}, {10, 0.29}, {1, 0.39}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{76, 0.99}, {24, 1.0}}
Spinosaurus_.6, {{25, 0.96}, {75, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{71, 0.99}, {29, 1.0}}
Spinosaurus_.1, {{1, 0.98}, {18, 0.96}, {81, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{21, 0.92}, {58, 0.91}, {21, 0.9}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{88, 0.03}, {2, 0.04}, {10, 0.02}}
Suchomimus.2, {{11, 0.22}, {4, 0.18}, {30, 0.2}, {3, 0.24}, {3, 0.23}, {33, 0.21}, {16, 0.19}}
Suchomimus.1, {{87, 0.03}, {3, 0.04}, {10, 0.02}}
Suchomimus, {{15, 0.22}, {1, 0.18}, {30, 0.2}, {2, 0.24}, {4, 0.23}, {36, 0.21}, {12, 0.19}}
Baryonyx, {{100, 1.0}}
Asfaltovenator, {{100, 0.0}}
Oviraptor_caenagnathid, {{100, 0.0}}
Avimaia, {{100, 0.0}}
Cygnus_olor, {{96, 0.03}, {4, 0.04}}
Anas_aucklandica, {{100, 0.0}}
Palaeospheniscus, {{100, 0.99}}
