Spinosaurus_.10, {{17, 0.22}, {9, 0.18}, {9, 0.2}, {5, 0.24}, {13, 0.17}, {1, 0.26}, {5, 0.16}, {15, 0.23}, {18, 0.21}, {8, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{44, 0.95}, {33, 0.94}, {20, 0.96}, {3, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{44, 0.95}, {4, 0.94}, {52, 0.96}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{19, 0.85}, {1, 0.86}, {50, 0.84}, {26, 0.83}, {4, 0.82}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{29, 0.1}, {5, 0.11}, {51, 0.09}, {15, 0.08}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{46, 0.1}, {18, 0.11}, {34, 0.09}, {1, 0.12}, {1, 0.08}}
Baryonyx, {{100, 1.0}}
Oviraptor_caenagnathid, {{100, 0.0}}
Rahonavis, {{3, 0.0}, {97, 0.01}}
Crypturellus_tataupa, {{100, 0.0}}
Anseranas_semipalmata, {{100, 0.0}}
Cygnus_olor, {{100, 0.02}}
Goura_cristata, {{100, 0.0}}
Phoenicopterus_roseus, {{100, 0.0}}
