Placodontia_indet_1, {{100, 1.0}}
Nothosaurus_giganteus, {{6, 0.76}, {30, 0.78}, {23, 0.79}, {4, 0.81}, {27, 0.77}, {7, 0.8}, {3, 0.75}}
Alligator, {{100, 1.0}}
Spinosaurus_.11, {{1, 0.13}, {4, 0.07}, {9, 0.12}, {27, 0.1}, {18, 0.09}, {17, 0.08}, {23, 0.11}, {1, 0.06}}
Spinosaurus_.10, {{1, 0.1}, {12, 0.18}, {16, 0.15}, {16, 0.17}, {13, 0.12}, {11, 0.16}, {1, 0.11}, {14, 0.13}, {11, 0.14}, {5, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{12, 0.98}, {20, 0.96}, {68, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{54, 0.98}, {46, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{43, 0.88}, {2, 0.85}, {11, 0.86}, {10, 0.89}, {34, 0.87}}
Baryonyx.2, {{40, 0.99}, {60, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{7, 0.04}, {4, 0.07}, {40, 0.06}, {49, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{1, 0.04}, {11, 0.07}, {56, 0.06}, {32, 0.05}}
Baryonyx, {{100, 1.0}}
Tyrannosaurus, {{43, 0.07}, {6, 0.09}, {46, 0.08}, {5, 0.06}}
Gorgosaurus, {{3, 0.4}, {23, 0.43}, {1, 0.47}, {20, 0.42}, {11, 0.45}, {7, 0.46}, {15, 0.41}, {1, 0.39}, {19, 0.44}}
Troodon_formosus, {{26, 0.22}, {1, 0.2}, {19, 0.24}, {35, 0.23}, {4, 0.25}, {15, 0.21}}
Cygnus_olor, {{100, 0.01}}
Anas_erythroincha, {{2, 0.0}, {98, 0.01}}
