Spinosaurus_.11, {{5, 0.14}, {22, 0.1}, {17, 0.12}, {19, 0.13}, {19, 0.11}, {16, 0.09}, {2, 0.08}}
Spinosaurus_.10, {{8, 0.14}, {1, 0.22}, {10, 0.15}, {14, 0.18}, {12, 0.2}, {14, 0.17}, {21, 0.16}, {8, 0.21}, {12, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{76, 0.98}, {24, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{94, 0.98}, {6, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{1, 0.92}, {41, 0.91}, {52, 0.9}, {6, 0.89}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{94, 0.0}, {6, 0.01}}
Suchomimus.2, {{57, 0.07}, {19, 0.06}, {24, 0.08}}
Suchomimus.1, {{89, 0.0}, {11, 0.01}}
Suchomimus, {{48, 0.07}, {4, 0.09}, {40, 0.08}, {8, 0.06}}
Baryonyx, {{100, 1.0}}
Tyrannotitan, {{36, 0.15}, {9, 0.17}, {36, 0.16}, {3, 0.13}, {16, 0.14}}
Oviraptor_, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Anas_aucklandica, {{100, 0.0}}
