{{100, {46, 13, 17, 36}}}
{{100, {52, 10, 11, 39}}}
{{100, {47, 6, 16, 43}}}
{{100, {55, 11, 8, 38}}}
{{100, {54, 10, 9, 39}}}
{{100, {56, 8, 7, 41}}}
{{100, {52, 13, 11, 36}}}
{{100, {55, 10, 8, 39}}}
{{100, {52, 10, 11, 39}}}
{{100, {51, 10, 12, 39}}}
{{100, {46, 10, 17, 39}}}
{{1, {47, 8, 16, 41}}, {99, {49, 8, 14, 41}}}
{{100, {52, 7, 11, 42}}}
{{100, {52, 9, 11, 40}}}
{{100, {49, 8, 14, 41}}}
{{8, {49, 11, 14, 38}}, {89, {49, 9, 14, 40}}, {3, {49, 10, 14, 39}}}
{{100, {55, 9, 8, 40}}}
{{100, {49, 12, 14, 37}}}
{{100, {58, 7, 5, 42}}}
{{100, {50, 13, 13, 36}}}
{{100, {54, 6, 9, 43}}}
{{100, {51, 7, 12, 42}}}
{{100, {56, 9, 7, 40}}}
{{100, {47, 6, 16, 43}}}
{{100, {53, 13, 10, 36}}}
{{100, {52, 13, 11, 36}}}
{{1, {41, 9, 22, 40}}, {83, {41, 8, 22, 41}}, {16, {41, 10, 22, 39}}}
{{100, {38, 10, 25, 39}}}
{{100, {56, 4, 7, 45}}}
{{100, {42, 12, 21, 37}}}
{{100, {56, 9, 7, 40}}}
{{100, {54, 8, 9, 41}}}
{{95, {53, 11, 10, 38}}, {5, {54, 11, 9, 38}}}
{{100, {58, 10, 5, 39}}}
{{100, {48, 9, 15, 40}}}
{{100, {57, 11, 6, 38}}}
{{100, {51, 6, 12, 43}}}
{{2, {49, 6, 14, 43}}, {98, {51, 6, 12, 43}}}
{{100, {55, 10, 8, 39}}}
{{15, {53, 12, 10, 37}}, {85, {53, 10, 10, 39}}}
{{100, {51, 7, 12, 42}}}
{{100, {42, 11, 21, 38}}}
{{100, {53, 13, 10, 36}}}
{{100, {45, 12, 18, 37}}}
{{100, {52, 11, 11, 38}}}
{{100, {57, 11, 6, 38}}}
{{100, {50, 12, 13, 37}}}
{{100, {50, 9, 13, 40}}}
{{69, {49, 11, 14, 38}}, {27, {49, 7, 14, 42}}, {1, {49, 9, 14, 40}}, {3, {49, 10, 14, 39}}}
{{100, {53, 7, 10, 42}}}
{{100, {55, 8, 8, 41}}}
{{100, {46, 11, 17, 38}}}
{{100, {54, 9, 9, 40}}}
{{100, {53, 9, 10, 40}}}
{{100, {48, 15, 15, 34}}}
{{100, {51, 8, 12, 41}}}
{{100, {52, 6, 11, 43}}}
{{100, {57, 10, 6, 39}}}
{{100, {53, 11, 10, 38}}}
{{100, {53, 10, 10, 39}}}
{{100, {55, 13, 8, 36}}}
{{100, {47, 13, 16, 36}}}
{{94, {47, 8, 16, 41}}, {6, {45, 8, 18, 41}}}
{{100, {59, 9, 4, 40}}}
{{100, {52, 8, 11, 41}}}
{{100, {53, 8, 10, 41}}}
{{100, {45, 11, 18, 38}}}
{{100, {56, 12, 7, 37}}}
{{100, {55, 9, 8, 40}}}
{{100, {50, 11, 13, 38}}}
{{100, {54, 11, 9, 38}}}
{{100, {53, 12, 10, 37}}}
{{100, {51, 7, 12, 42}}}
{{100, {56, 13, 7, 36}}}
{{100, {48, 10, 15, 39}}}
{{100, {47, 13, 16, 36}}}
{{100, {54, 10, 9, 39}}}
{{100, {45, 8, 18, 41}}}
{{100, {53, 10, 10, 39}}}
{{100, {55, 10, 8, 39}}}
{{100, {57, 11, 6, 38}}}
{{100, {53, 9, 10, 40}}}
{{100, {58, 7, 5, 42}}}
{{100, {52, 11, 11, 38}}}
{{100, {49, 7, 14, 42}}}
{{100, {55, 11, 8, 38}}}
{{100, {55, 10, 8, 39}}}
{{100, {55, 9, 8, 40}}}
{{100, {58, 9, 5, 40}}}
{{100, {49, 8, 14, 41}}}
{{100, {54, 9, 9, 40}}}
{{100, {56, 6, 7, 43}}}
{{100, {51, 13, 12, 36}}}
{{100, {53, 9, 10, 40}}}
{{100, {50, 12, 13, 37}}}
{{100, {50, 11, 13, 38}}}
{{100, {52, 11, 11, 38}}}
{{100, {54, 7, 9, 42}}}
{{100, {58, 9, 5, 40}}}
{{100, {50, 8, 13, 41}}}
{{100, {58, 10, 5, 39}}}
{{100, {56, 10, 7, 39}}}
{{38, {43, 9, 20, 40}}, {62, {42, 9, 21, 40}}}
{{100, {58, 9, 5, 40}}}
{{100, {53, 11, 10, 38}}}
{{100, {45, 6, 18, 43}}}
{{100, {51, 8, 12, 41}}}
{{100, {50, 10, 13, 39}}}
{{48, {54, 13, 9, 36}}, {52, {51, 13, 12, 36}}}
{{100, {54, 9, 9, 40}}}
{{100, {56, 15, 7, 34}}}
{{100, {50, 10, 13, 39}}}
{{100, {57, 11, 6, 38}}}
